RuleID,Description
R0001,Users should not delete /resource/5 more than 2 times in a day
R0002,Users should not access /resource/10 between 12:00 and 13:00
R0003,Users should not delete /resource/6 more than 2 times in a day
R0004,Users should not access /resource/9 between 12:00 and 13:00
R0005,Users should not delete /resource/10 on weekends
R0006,Users should not delete /resource/7 on weekends
R0007,Users should not access /resource/2 between 12:00 and 13:00
R0008,Access to /resource/10 from SessionID 192.168.1.3 should be flagged
R0009,Any access from UserAgent /resource/10 should be reviewed
R0010,Users should not access /resource/6 more than 5 times in an hour
R0011,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0012,Any access to /resource/8 resulting in a 192.168.1.13 response code should be reviewed
R0013,Users should not delete /resource/5 more than 2 times in a day
R0014,Access to /resource/10 should result in success
R0015,Response time for accessing /resource/9 should be less than 500ms
R0016,Access to /resource/6 should not be from IP 192.168.1.50
R0017,Users should not access /resource/7 between 12:00 and 13:00
R0018,Users should not modify /resource/8
R0019,Access to /resource/8 from SessionID 192.168.1.41 should be flagged
R0020,Access to /resource/9 should result in success
R0021,Users should not delete /resource/9 more than 2 times in a day
R0022,Users should not access /resource/9 more than 5 times in an hour
R0023,Modification of /resource/6 should always be from IP 192.168.1.60
R0024,Modification of /resource/5 should always be from IP 192.168.1.53
R0025,Access to /resource/10 should result in success
R0026,Users should not delete /resource/9 on weekends
R0027,Access to /resource/3 should not be from IP 192.168.1.19
R0028,Access to /resource/3 should result in success
R0029,Users should not modify /resource/4
R0030,Users should not delete /resource/1 more than 2 times in a day
R0031,Response time for accessing /resource/6 should be less than 500ms
R0032,Users should not modify /resource/3
R0033,Users should not delete /resource/6 more than 2 times in a day
R0034,Access to /resource/8 should result in success
R0035,Users should not delete /resource/7 more than 2 times in a day
R0036,Any access from UserAgent /resource/7 should be reviewed
R0037,Access to /resource/9 from SessionID 192.168.1.79 should be flagged
R0038,Users should not delete /resource/8 on weekends
R0039,Users should not delete /resource/5 more than 2 times in a day
R0040,Access to /resource/2 should result in success
R0041,Modification of /resource/7 should always be from IP 192.168.1.99
R0042,Users should not delete /resource/9 on weekends
R0043,Access to /resource/1 from SessionID 192.168.1.49 should be flagged
R0044,Users should not delete /resource/3 on weekends
R0045,Users should not modify /resource/5
R0046,Users should not delete /resource/1 on weekends
R0047,Users should not delete /resource/7 on weekends
R0048,Any access from UserAgent /resource/6 should be reviewed
R0049,Access to /resource/2 should not be from IP 192.168.1.41
R0050,Access to /resource/7 should not use the 192.168.1.30 method
R0051,Access from IP /resource/5 should be monitored
R0052,Users should not delete /resource/3 more than 2 times in a day
R0053,Access from IP /resource/6 should be monitored
R0054,Access to /resource/3 from SessionID 192.168.1.47 should be flagged
R0055,Access from IP /resource/8 should be monitored
R0056,Users should not delete /resource/4 more than 2 times in a day
R0057,Access from IP /resource/7 should be monitored
R0058,Access from IP /resource/2 should be monitored
R0059,Users should not access /resource/10 between 12:00 and 13:00
R0060,Access to /resource/9 should not use the 192.168.1.59 method
R0061,Any access to /resource/3 resulting in a 192.168.1.89 response code should be reviewed
R0062,Access to /resource/8 should result in success
R0063,Response time for accessing /resource/8 should be less than 500ms
R0064,Users should not delete /resource/1 on weekends
R0065,Modification of /resource/2 should always be from IP 192.168.1.1
R0066,Access to /resource/9 should result in success
R0067,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0068,Access to /resource/3 should result in success
R0069,Users should not modify /resource/4
R0070,Access to /resource/4 from SessionID 192.168.1.23 should be flagged
R0071,Users should not access /resource/5 between 12:00 and 13:00
R0072,Users should not access /resource/4 more than 5 times in an hour
R0073,Users should not access /resource/1 more than 5 times in an hour
R0074,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0075,Any access from UserAgent /resource/3 should be reviewed
R0076,Access to /resource/10 should not use the 192.168.1.15 method
R0077,Users should not delete /resource/8 on weekends
R0078,Users should not modify /resource/8
R0079,Access to /resource/4 from SessionID 192.168.1.7 should be flagged
R0080,Users should not access /resource/3 between 12:00 and 13:00
R0081,Users should not delete /resource/2 more than 2 times in a day
R0082,Access to /resource/1 should result in success
R0083,Access to /resource/1 from SessionID 192.168.1.3 should be flagged
R0084,Users should not delete /resource/3 more than 2 times in a day
R0085,Access from IP /resource/7 should be monitored
R0086,Users should not delete /resource/1 on weekends
R0087,Any access from UserAgent /resource/9 should be reviewed
R0088,Users should not delete /resource/6 on weekends
R0089,Users should not delete /resource/7 more than 2 times in a day
R0090,Modification of /resource/8 should always be from IP 192.168.1.83
R0091,Access to /resource/8 should not use the 192.168.1.77 method
R0092,Any access to /resource/3 resulting in a 192.168.1.39 response code should be reviewed
R0093,Any access to /resource/3 resulting in a 192.168.1.30 response code should be reviewed
R0094,Access to /resource/9 from SessionID 192.168.1.63 should be flagged
R0095,Users should not access /resource/8 more than 5 times in an hour
R0096,Response time for accessing /resource/8 should be less than 500ms
R0097,Modification of /resource/3 should always be from IP 192.168.1.21
R0098,Users should not access /resource/7 more than 5 times in an hour
R0099,Access to /resource/10 from SessionID 192.168.1.45 should be flagged
R0100,Access to /resource/9 from SessionID 192.168.1.54 should be flagged
R0101,Any access from UserAgent /resource/2 should be reviewed
R0102,Any access to /resource/10 resulting in a 192.168.1.48 response code should be reviewed
R0103,Users should not delete /resource/3 more than 2 times in a day
R0104,Any access from UserAgent /resource/1 should be reviewed
R0105,Users should not access /resource/4 between 12:00 and 13:00
R0106,Users should not delete /resource/2 on weekends
R0107,Any access from UserAgent /resource/3 should be reviewed
R0108,Users should not modify /resource/6
R0109,Access to /resource/1 should result in success
R0110,Any access to /resource/8 resulting in a 192.168.1.26 response code should be reviewed
R0111,Access from IP /resource/5 should be monitored
R0112,Users should not modify /resource/6
R0113,Users should not modify /resource/3
R0114,Any access to /resource/8 resulting in a 192.168.1.11 response code should be reviewed
R0115,Any access to /resource/1 resulting in a 192.168.1.13 response code should be reviewed
R0116,Access from IP /resource/4 should be monitored
R0117,Response time for accessing /resource/6 should be less than 500ms
R0118,Users should not access /resource/6 between 12:00 and 13:00
R0119,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0120,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0121,Users should not access /resource/10 between 12:00 and 13:00
R0122,Users should not delete /resource/10 more than 2 times in a day
R0123,Users should not delete /resource/6 on weekends
R0124,Users should not access /resource/4 more than 5 times in an hour
R0125,Access to /resource/1 should not be from IP 192.168.1.54
R0126,Response time for accessing /resource/8 should be less than 500ms
R0127,Access to /resource/3 should not use the 192.168.1.64 method
R0128,Users should not access /resource/9 between 12:00 and 13:00
R0129,Users should not access /resource/7 more than 5 times in an hour
R0130,Any access to /resource/7 resulting in a 192.168.1.42 response code should be reviewed
R0131,Any access to /resource/4 resulting in a 192.168.1.98 response code should be reviewed
R0132,Users should not access /resource/10 more than 5 times in an hour
R0133,Users should not delete /resource/5 on weekends
R0134,Users should not delete /resource/10 on weekends
R0135,Access to /resource/3 from SessionID 192.168.1.29 should be flagged
R0136,Access to /resource/8 from SessionID 192.168.1.24 should be flagged
R0137,Users should not access /resource/1 more than 5 times in an hour
R0138,Modification of /resource/2 should always be from IP 192.168.1.68
R0139,Users should not modify /resource/7
R0140,Access to /resource/2 between 15:00 and 16:00 should be flagged
R0141,Users should not access /resource/2 between 12:00 and 13:00
R0142,Users should not delete /resource/10 more than 2 times in a day
R0143,Access to /resource/6 should not use the 192.168.1.34 method
R0144,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0145,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0146,Access from IP /resource/9 should be monitored
R0147,Access to /resource/9 between 15:00 and 16:00 should be flagged
R0148,Users should not modify /resource/4
R0149,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0150,Response time for accessing /resource/2 should be less than 500ms
R0151,Users should not delete /resource/3 more than 2 times in a day
R0152,Any access to /resource/10 resulting in a 192.168.1.95 response code should be reviewed
R0153,Access to /resource/5 should not use the 192.168.1.70 method
R0154,Any access to /resource/5 resulting in a 192.168.1.41 response code should be reviewed
R0155,Access to /resource/9 from SessionID 192.168.1.30 should be flagged
R0156,Users should not access /resource/1 between 12:00 and 13:00
R0157,Users should not delete /resource/2 more than 2 times in a day
R0158,Response time for accessing /resource/3 should be less than 500ms
R0159,Access to /resource/8 should result in success
R0160,Users should not delete /resource/6 on weekends
R0161,Users should not access /resource/7 between 12:00 and 13:00
R0162,Users should not delete /resource/1 more than 2 times in a day
R0163,Users should not modify /resource/7
R0164,Modification of /resource/7 should always be from IP 192.168.1.26
R0165,Users should not modify /resource/8
R0166,Access to /resource/3 should result in success
R0167,Access to /resource/3 should not use the 192.168.1.100 method
R0168,Access from IP /resource/1 should be monitored
R0169,Response time for accessing /resource/7 should be less than 500ms
R0170,Response time for accessing /resource/4 should be less than 500ms
R0171,Access to /resource/8 should result in success
R0172,Response time for accessing /resource/10 should be less than 500ms
R0173,Access to /resource/5 should result in success
R0174,Users should not delete /resource/1 on weekends
R0175,Access to /resource/2 should not use the 192.168.1.88 method
R0176,Any access to /resource/4 resulting in a 192.168.1.99 response code should be reviewed
R0177,Users should not delete /resource/4 more than 2 times in a day
R0178,Access to /resource/1 from SessionID 192.168.1.64 should be flagged
R0179,Response time for accessing /resource/10 should be less than 500ms
R0180,Users should not delete /resource/7 on weekends
R0181,Users should not delete /resource/9 more than 2 times in a day
R0182,Users should not delete /resource/3 on weekends
R0183,Users should not access /resource/5 between 12:00 and 13:00
R0184,Users should not delete /resource/4 more than 2 times in a day
R0185,Users should not access /resource/5 more than 5 times in an hour
R0186,Access to /resource/1 should result in success
R0187,Access to /resource/9 should not be from IP 192.168.1.38
R0188,Users should not delete /resource/3 on weekends
R0189,Any access from UserAgent /resource/1 should be reviewed
R0190,Access to /resource/9 should not use the 192.168.1.86 method
R0191,Users should not modify /resource/4
R0192,Access to /resource/6 should not be from IP 192.168.1.30
R0193,Response time for accessing /resource/7 should be less than 500ms
R0194,Modification of /resource/3 should always be from IP 192.168.1.84
R0195,Response time for accessing /resource/3 should be less than 500ms
R0196,Access to /resource/10 should not use the 192.168.1.41 method
R0197,Users should not modify /resource/5
R0198,Access to /resource/9 should not use the 192.168.1.90 method
R0199,Access to /resource/3 should result in success
R0200,Modification of /resource/5 should always be from IP 192.168.1.71
R0201,Response time for accessing /resource/1 should be less than 500ms
R0202,Access to /resource/6 should not use the 192.168.1.72 method
R0203,Users should not delete /resource/7 on weekends
R0204,Access to /resource/8 should not be from IP 192.168.1.22
R0205,Users should not access /resource/1 more than 5 times in an hour
R0206,Access to /resource/3 between 15:00 and 16:00 should be flagged
R0207,Access to /resource/4 should not use the 192.168.1.72 method
R0208,Access to /resource/8 from SessionID 192.168.1.99 should be flagged
R0209,Access to /resource/1 should not be from IP 192.168.1.20
R0210,Access to /resource/7 from SessionID 192.168.1.93 should be flagged
R0211,Access from IP /resource/2 should be monitored
R0212,Any access from UserAgent /resource/10 should be reviewed
R0213,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0214,Users should not delete /resource/2 more than 2 times in a day
R0215,Users should not delete /resource/7 on weekends
R0216,Access to /resource/1 should result in success
R0217,Access to /resource/3 should not use the 192.168.1.43 method
R0218,Users should not delete /resource/1 on weekends
R0219,Access from IP /resource/5 should be monitored
R0220,Modification of /resource/7 should always be from IP 192.168.1.52
R0221,Any access from UserAgent /resource/8 should be reviewed
R0222,Users should not access /resource/4 more than 5 times in an hour
R0223,Users should not modify /resource/5
R0224,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0225,Users should not delete /resource/2 more than 2 times in a day
R0226,Response time for accessing /resource/10 should be less than 500ms
R0227,Any access from UserAgent /resource/9 should be reviewed
R0228,Access to /resource/5 from SessionID 192.168.1.95 should be flagged
R0229,Users should not access /resource/9 between 12:00 and 13:00
R0230,Users should not modify /resource/6
R0231,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0232,Users should not delete /resource/8 on weekends
R0233,Access from IP /resource/6 should be monitored
R0234,Users should not delete /resource/4 on weekends
R0235,Any access to /resource/8 resulting in a 192.168.1.92 response code should be reviewed
R0236,Access to /resource/6 should not use the 192.168.1.21 method
R0237,Access to /resource/3 should result in success
R0238,Users should not access /resource/1 between 12:00 and 13:00
R0239,Access to /resource/8 should not be from IP 192.168.1.70
R0240,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0241,Users should not modify /resource/10
R0242,Users should not delete /resource/3 on weekends
R0243,Users should not access /resource/4 between 12:00 and 13:00
R0244,Response time for accessing /resource/6 should be less than 500ms
R0245,Users should not delete /resource/2 more than 2 times in a day
R0246,Users should not modify /resource/3
R0247,Response time for accessing /resource/10 should be less than 500ms
R0248,Users should not access /resource/1 more than 5 times in an hour
R0249,Any access to /resource/10 resulting in a 192.168.1.80 response code should be reviewed
R0250,Access from IP /resource/6 should be monitored
R0251,Any access to /resource/1 resulting in a 192.168.1.29 response code should be reviewed
R0252,Access to /resource/4 from SessionID 192.168.1.38 should be flagged
R0253,Users should not access /resource/6 between 12:00 and 13:00
R0254,Access to /resource/9 from SessionID 192.168.1.27 should be flagged
R0255,Access to /resource/6 should not use the 192.168.1.45 method
R0256,Access to /resource/6 should not be from IP 192.168.1.76
R0257,Users should not modify /resource/3
R0258,Access to /resource/1 should not be from IP 192.168.1.65
R0259,Users should not delete /resource/4 on weekends
R0260,Access to /resource/5 should not use the 192.168.1.45 method
R0261,Users should not access /resource/8 between 12:00 and 13:00
R0262,Users should not modify /resource/10
R0263,Access to /resource/5 should result in success
R0264,Any access from UserAgent /resource/7 should be reviewed
R0265,Any access to /resource/6 resulting in a 192.168.1.22 response code should be reviewed
R0266,Access from IP /resource/10 should be monitored
R0267,Access from IP /resource/1 should be monitored
R0268,Access to /resource/2 should not use the 192.168.1.60 method
R0269,Any access to /resource/7 resulting in a 192.168.1.60 response code should be reviewed
R0270,Access to /resource/8 from SessionID 192.168.1.39 should be flagged
R0271,Any access from UserAgent /resource/4 should be reviewed
R0272,Users should not delete /resource/2 more than 2 times in a day
R0273,Access to /resource/3 from SessionID 192.168.1.1 should be flagged
R0274,Access to /resource/1 should result in success
R0275,Any access from UserAgent /resource/10 should be reviewed
R0276,Access from IP /resource/7 should be monitored
R0277,Any access from UserAgent /resource/1 should be reviewed
R0278,Any access from UserAgent /resource/10 should be reviewed
R0279,Any access to /resource/6 resulting in a 192.168.1.36 response code should be reviewed
R0280,Modification of /resource/7 should always be from IP 192.168.1.18
R0281,Access to /resource/5 should not be from IP 192.168.1.9
R0282,Any access to /resource/9 resulting in a 192.168.1.73 response code should be reviewed
R0283,Users should not delete /resource/6 on weekends
R0284,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0285,Modification of /resource/6 should always be from IP 192.168.1.30
R0286,Access from IP /resource/2 should be monitored
R0287,Access to /resource/5 should not be from IP 192.168.1.98
R0288,Access to /resource/3 between 15:00 and 16:00 should be flagged
R0289,Modification of /resource/7 should always be from IP 192.168.1.30
R0290,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0291,Any access to /resource/10 resulting in a 192.168.1.10 response code should be reviewed
R0292,Access to /resource/7 from SessionID 192.168.1.83 should be flagged
R0293,Users should not access /resource/10 more than 5 times in an hour
R0294,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0295,Any access to /resource/1 resulting in a 192.168.1.91 response code should be reviewed
R0296,Access to /resource/5 should not be from IP 192.168.1.100
R0297,Access from IP /resource/3 should be monitored
R0298,Modification of /resource/4 should always be from IP 192.168.1.38
R0299,Any access to /resource/6 resulting in a 192.168.1.80 response code should be reviewed
R0300,Users should not delete /resource/6 on weekends
R0301,Modification of /resource/3 should always be from IP 192.168.1.48
R0302,Users should not access /resource/7 more than 5 times in an hour
R0303,Any access to /resource/10 resulting in a 192.168.1.4 response code should be reviewed
R0304,Access to /resource/3 between 15:00 and 16:00 should be flagged
R0305,Users should not delete /resource/9 more than 2 times in a day
R0306,Access to /resource/9 should not use the 192.168.1.81 method
R0307,Access from IP /resource/9 should be monitored
R0308,Users should not delete /resource/3 more than 2 times in a day
R0309,Access to /resource/2 should result in success
R0310,Access to /resource/3 should result in success
R0311,Users should not delete /resource/8 on weekends
R0312,Access to /resource/9 should not be from IP 192.168.1.45
R0313,Any access to /resource/2 resulting in a 192.168.1.82 response code should be reviewed
R0314,Access from IP /resource/8 should be monitored
R0315,Access to /resource/10 should not be from IP 192.168.1.65
R0316,Access to /resource/7 should result in success
R0317,Access to /resource/1 should not use the 192.168.1.98 method
R0318,Users should not delete /resource/5 on weekends
R0319,Response time for accessing /resource/1 should be less than 500ms
R0320,Any access to /resource/8 resulting in a 192.168.1.53 response code should be reviewed
R0321,Modification of /resource/5 should always be from IP 192.168.1.93
R0322,Any access to /resource/10 resulting in a 192.168.1.74 response code should be reviewed
R0323,Any access from UserAgent /resource/6 should be reviewed
R0324,Modification of /resource/2 should always be from IP 192.168.1.70
R0325,Response time for accessing /resource/9 should be less than 500ms
R0326,Users should not delete /resource/9 more than 2 times in a day
R0327,Any access to /resource/3 resulting in a 192.168.1.22 response code should be reviewed
R0328,Any access from UserAgent /resource/3 should be reviewed
R0329,Response time for accessing /resource/10 should be less than 500ms
R0330,Modification of /resource/6 should always be from IP 192.168.1.42
R0331,Users should not delete /resource/10 more than 2 times in a day
R0332,Users should not access /resource/4 between 12:00 and 13:00
R0333,Users should not delete /resource/8 more than 2 times in a day
R0334,Response time for accessing /resource/5 should be less than 500ms
R0335,Modification of /resource/7 should always be from IP 192.168.1.88
R0336,Access to /resource/6 should result in success
R0337,Any access from UserAgent /resource/7 should be reviewed
R0338,Any access to /resource/5 resulting in a 192.168.1.57 response code should be reviewed
R0339,Users should not access /resource/2 more than 5 times in an hour
R0340,Access to /resource/1 should result in success
R0341,Users should not modify /resource/7
R0342,Users should not delete /resource/7 on weekends
R0343,Any access to /resource/9 resulting in a 192.168.1.23 response code should be reviewed
R0344,Any access to /resource/8 resulting in a 192.168.1.61 response code should be reviewed
R0345,Response time for accessing /resource/4 should be less than 500ms
R0346,Any access to /resource/9 resulting in a 192.168.1.15 response code should be reviewed
R0347,Access to /resource/9 from SessionID 192.168.1.84 should be flagged
R0348,Access to /resource/3 should not be from IP 192.168.1.92
R0349,Users should not delete /resource/1 on weekends
R0350,Users should not delete /resource/7 more than 2 times in a day
R0351,Access to /resource/8 should not use the 192.168.1.4 method
R0352,Users should not access /resource/7 between 12:00 and 13:00
R0353,Access to /resource/10 from SessionID 192.168.1.72 should be flagged
R0354,Access to /resource/2 should not use the 192.168.1.91 method
